q,idx,round,rq_id,n_urls,snippet_len,gen_len
q13,12,1,4,6,6326,676
q13,13,1,4,4,8050,200
q13,14,1,5,5,12797,768
q13,15,1,5,6,11383,948
q13,16,1,5,2,10086,1179
q13,17,1,4,4,12162,650
q13,18,2,6,2,9533,823
q13,19,2,6,5,12797,850
q13,20,2,6,6,11383,859
q13,21,2,7,3,12023,271
q13,22,2,8,5,15763,466
q13,23,2,7,3,10959,359
q13,24,2,8,5,14028,514
q13,25,2,7,4,13797,519
q13,26,2,8,5,10809,953
q14,0,0,0,6,45204,991
q14,1,0,0,6,43539,4120
q14,2,0,1,5,11697,1672
q14,3,0,2,4,8586,1898
q14,4,0,0,5,43055,2020
q14,5,0,2,6,8971,1855
q14,6,0,2,5,11512,2073
q14,7,0,1,4,12174,2489
q14,8,0,1,5,10297,2178
q15,0,0,0,0,0,23
q15,1,0,0,6,43399,1661
q15,2,0,0,3,41619,2359
q15,3,0,1,5,37627,2920
q15,4,0,2,4,10472,893
q15,5,0,2,4,11670,1207
q15,6,0,1,4,46184,5004
q15,7,0,2,5,11592,1877
q15,8,0,1,3,38951,5962
q16,0,0,0,2,9491,437
q16,1,0,1,3,9188,1132
q16,2,0,0,4,9748,778
q16,3,0,0,4,8317,1059
q16,4,0,2,3,12279,1181
q16,5,0,1,4,10914,1320
q16,6,0,2,5,10232,1449
q16,7,0,1,5,11922,1610
q16,8,0,2,3,11913,1585
q17,0,0,0,5,8956,580
q17,1,0,1,4,11890,748
q17,2,0,1,2,9494,775
q17,3,0,1,4,11873,786
q17,4,0,2,4,10935,842
q17,5,0,0,4,9126,1181
q17,6,0,2,5,12899,878
q17,7,0,2,6,12983,950
q17,8,0,0,5,10447,1262
q18,0,0,0,6,3501,295
q18,1,0,0,5,5094,546
q18,2,0,0,6,14515,402
q18,3,0,1,5,11413,509
q18,4,0,2,4,9220,671
q18,5,0,1,4,12380,675
q18,6,0,1,6,9337,725
q18,7,0,2,5,15904,833
q18,8,0,2,6,13250,979
q18,9,1,3,5,14152,512
q18,10,1,4,4,41476,1736
q18,11,1,5,3,19844,609
q18,12,1,3,4,8999,688
q18,13,1,4,2,41364,2371
q18,14,1,4,5,30691,905
q18,15,1,3,3,9489,845
q18,16,1,5,4,18683,856
q18,17,1,5,4,8603,857
q18,18,2,6,5,18028,692
q18,19,2,7,4,32484,854
q18,20,2,6,3,12572,852
q18,21,2,7,3,40984,2535
q18,22,2,7,3,37929,936
q18,23,2,6,4,24809,1250
q19,0,0,0,5,17802,319
q19,1,0,1,5,14401,952
q19,2,0,2,6,20263,783
q19,3,0,1,5,13292,752
q19,4,0,0,6,15805,825
q19,5,0,0,4,14308,866
q19,6,0,2,6,16495,1043
q19,7,0,2,4,24284,982
q19,8,0,1,6,14018,1463
q20,0,0,0,6,13339,654
q20,1,0,1,4,17222,801
q20,2,0,1,4,14155,836
q20,3,0,1,6,15111,922
q20,4,0,2,5,11872,1269
q20,5,0,0,3,11286,1141
q20,6,0,2,5,20124,1222
q20,7,0,2,5,13257,1132
q20,8,0,0,5,16605,1266
q21,0,0,0,3,10906,371
q21,1,0,0,6,10721,633
q21,2,0,1,5,11521,842
q21,3,0,2,3,8776,771
q21,4,0,1,3,10770,1013
q21,5,0,2,5,8586,1031
q21,6,0,1,3,8986,1204
q21,7,0,0,5,12050,1326
q21,8,0,2,3,9106,1230
q21,9,1,3,3,9384,598
q21,10,1,3,3,9178,961
q21,11,1,4,6,34028,1076
q21,12,1,5,4,11125,968
q21,13,1,5,4,9091,1076
q21,14,1,4,4,45184,866
q21,15,1,5,5,8345,1259
q21,16,1,3,4,10152,1238
q21,17,1,4,3,45822,1340
q21,18,2,6,5,7618,579
q21,19,2,7,4,8243,648
q21,20,2,6,3,10283,911
q21,21,2,8,2,9944,901
q21,22,2,6,2,8915,915
q21,23,2,8,4,9192,871
q21,24,2,8,6,7373,1105
q21,25,2,7,4,9086,1074
q21,26,2,7,5,9526,1343
q22,0,0,0,4,9221,249
q22,1,0,1,5,9925,567
q22,2,0,0,6,9201,740
q22,3,0,2,5,6710,722
q22,4,0,1,5,7502,960
q22,5,0,2,5,9934,961
q22,6,0,1,1,9378,641
q22,7,0,2,4,7544,1082
q22,8,0,0,4,8430,1308
q22,9,1,3,4,8881,410
q22,10,1,3,3,9304,393
q22,11,1,4,4,8561,821
q22,12,1,5,5,10048,814
q22,13,1,3,1,9763,825
q22,14,1,4,3,8749,982
q22,15,1,4,5,8927,1116
q22,16,1,5,5,7827,1372
q22,17,1,5,4,8534,1349
q22,18,2,6,4,6784,553
q22,19,2,7,4,13731,553
q22,20,2,6,3,9970,589
q22,21,2,6,3,11371,476
q22,22,2,7,5,10587,1145
q22,23,2,8,6,7962,886
q22,24,2,8,4,9530,1184
q22,25,2,7,4,9916,1584
q22,26,2,8,4,10316,1287
q23,0,0,0,5,8607,395
q23,1,0,0,6,8713,417
q23,2,0,1,4,12608,588
q23,3,0,0,4,10217,607
q23,4,0,1,6,7129,699
q23,5,0,2,3,7582,815
q23,6,0,2,4,10138,879
q23,7,0,2,6,11313,1088
q23,8,0,1,6,9233,1200
q24,0,0,0,5,8700,329
q24,1,0,1,5,9043,482
q24,2,0,2,4,8497,765
q24,3,0,2,5,9080,582
q24,4,0,1,5,9924,847
q24,5,0,1,3,8268,908
q24,6,0,0,4,11144,973
q24,7,0,2,3,10137,1298
q24,8,0,0,3,8683,709
q25,0,0,0,5,12226,501
q25,1,0,0,4,10555,525
q25,2,0,0,3,16111,734
q25,3,0,1,5,9703,835
q25,4,0,2,4,10814,814
q25,5,0,1,4,12328,916
q25,6,0,1,5,10680,988
q25,7,0,2,4,10323,962
q25,8,0,2,5,8132,1183
q25,9,1,3,3,9521,260
q25,10,1,3,3,2182,258
q25,11,1,3,5,11829,788
q25,12,1,4,5,8105,812
q25,13,1,5,5,8994,900
q25,14,1,5,5,7586,983
q25,15,1,4,6,11721,1016
q25,16,1,4,5,29370,1067
q25,17,1,5,4,9209,1223
q25,18,2,6,5,12607,414
q25,19,2,7,1,13977,521
q25,20,2,6,5,7440,1108
q25,21,2,7,6,9362,635
q25,22,2,8,5,10815,848
q25,23,2,7,4,17749,775
q25,24,2,6,4,8800,821
q25,25,2,8,6,13585,850
q25,26,2,8,4,11736,1094
q26,0,0,0,5,9097,310
q26,1,0,1,3,17497,351
q26,2,0,1,5,12221,641
q26,3,0,2,4,13910,651
q26,4,0,2,5,10529,754
q26,5,0,2,5,10479,843
q26,6,0,1,5,9201,864
q26,7,0,0,4,11944,1146
q26,8,0,0,4,10240,1197
q26,9,1,3,5,11802,282
q26,10,1,3,4,10497,832
q26,11,1,4,4,8063,759
q26,12,1,5,5,10633,881
q26,13,1,5,4,8535,859
q26,14,1,5,4,12560,861
q26,15,1,4,4,8261,1042
q26,16,1,4,4,13450,1241
q26,17,1,3,6,9176,1153
q26,18,2,6,1,16225,462
q26,19,2,7,4,12610,823
q26,20,2,7,6,12414,567
q26,21,2,6,5,15620,938
q26,22,2,6,5,9162,968
q26,23,2,8,4,35285,851
q26,24,2,7,5,7558,1022
q26,25,2,8,4,34568,709
q26,26,2,8,3,39953,934
q27,0,0,0,5,10033,542
q27,1,0,0,4,11926,898
q27,2,0,1,5,10822,1036
q27,3,0,1,4,9355,1037
q27,4,0,0,3,8883,1071
q27,5,0,2,5,9264,1178
q27,6,0,2,5,9211,1153
q27,7,0,1,5,9419,1329
q27,8,0,2,5,9574,1418
q27,9,1,3,4,7687,790
q27,10,1,4,2,10895,280
q27,11,1,3,5,7090,537
q27,12,1,3,3,11882,451
q27,13,1,4,5,9600,764
q27,14,1,4,4,12065,1014
q27,15,1,5,4,9812,1101
q27,16,1,5,3,10223,1102
q27,17,1,5,4,8891,1330
q27,18,2,6,4,12065,933
q27,19,2,7,3,11013,591
q27,20,2,7,5,10264,999
q27,21,2,8,2,9436,1030
q27,22,2,8,4,9278,1062
q27,23,2,7,6,7157,1196
q27,24,2,6,4,10817,1555
q27,25,2,6,4,12593,1662
q27,26,2,8,4,9021,1767
q28,0,0,0,3,11794,296
q28,1,0,0,3,11243,313
q28,2,0,0,3,10843,581
q28,3,0,1,5,10077,672
q28,4,0,2,4,10216,917
q28,5,0,2,5,8913,851
q28,6,0,1,3,11704,1080
q28,7,0,1,5,8322,1086
q28,8,0,2,3,15540,1209
q28,9,1,3,5,10155,922
q28,10,1,4,4,11320,573
q28,11,1,4,4,11033,753
q28,12,1,3,3,10885,829
q28,13,1,5,3,10975,820
q28,14,1,5,4,13541,821
q28,15,1,3,4,11207,958
q28,16,1,4,5,12736,951
q28,17,1,5,5,10130,1414
q28,18,2,6,5,9238,561
q28,19,2,7,5,11555,691
q28,20,2,8,4,9210,691
q28,21,2,6,4,8191,739
q28,22,2,8,3,11801,784
q28,23,2,8,3,12734,933
q28,24,2,6,4,8597,1094
q28,25,2,7,4,9189,1132
q28,26,2,7,3,10583,1709
q29,0,0,0,2,9089,329
q29,1,0,1,3,7623,468
q29,2,0,2,5,8818,694
q29,3,0,2,5,10757,783
q29,4,0,0,3,8188,694
q29,5,0,2,2,8421,823
q29,6,0,0,4,8409,974
q29,7,0,1,4,11056,1322
q29,8,0,1,2,13575,2754
q29,9,1,3,4,1235,187
q29,10,1,3,5,10502,439
q29,11,1,3,3,8749,435
q29,12,1,4,1,11017,671
q29,13,1,4,2,9044,664
q29,14,1,5,4,7841,602
q29,15,1,5,2,8363,647
q29,16,1,5,3,8315,1008
q29,17,1,4,4,8129,1036
q29,18,2,6,3,7752,502
q29,19,2,7,3,8189,618
q29,20,2,7,6,7419,730
q29,21,2,6,4,8779,752
q29,22,2,8,1,9166,835
q29,23,2,8,3,8819,1012
q29,24,2,6,3,10544,976
q29,25,2,8,1,8393,1098
q29,26,2,7,2,11451,675
q30,0,0,0,5,9031,489
q30,1,0,0,3,11493,403
q30,2,0,1,6,8801,914
q30,3,0,0,3,8800,920
q30,4,0,2,5,9327,1007
q30,5,0,1,5,8916,1053
q30,6,0,2,2,8433,1052
q30,7,0,2,4,8510,1164
q30,8,0,1,4,9272,1530
q30,9,1,3,4,7751,257
q30,10,1,3,5,10009,825
q30,11,1,3,4,9657,885
q30,12,1,4,5,9465,952
q30,13,1,5,4,9300,972
q30,14,1,5,5,10298,1053
q30,15,1,4,3,9339,1068
q30,16,1,4,5,8346,1212
q30,17,1,5,5,10238,953
q30,18,2,6,6,7523,639
q30,19,2,7,2,9119,949
q30,20,2,6,2,8251,908
q30,21,2,7,4,8006,963
q30,22,2,6,4,10969,957
q30,23,2,7,5,8698,1163
q30,24,2,8,5,9105,1187
q30,25,2,8,6,8659,1145
q30,26,2,8,4,9349,1261
q31,0,0,0,2,9139,926
q31,1,0,1,4,8915,1289
q31,2,0,1,3,9277,1011
q31,3,0,2,5,9057,837
q31,4,0,2,4,7048,1303
q31,5,0,2,5,6977,1233
q31,6,0,1,4,8707,1124
q31,7,0,0,4,7650,1660
q31,8,0,0,2,8667,1711
q32,0,0,0,4,7739,464
q32,1,0,1,3,8022,1175
q32,2,0,0,3,9670,593
q32,3,0,2,4,8381,785
q32,4,0,1,3,8667,871
q32,5,0,2,3,9680,1468
q32,6,0,1,2,9002,236
q32,7,0,2,4,10605,2262
q32,8,0,0,3,9778,603
q32,9,1,3,4,9700,465
q32,10,1,3,4,7701,450
q32,11,1,4,4,9244,749
q32,12,1,3,2,9509,478
q32,13,1,4,3,8557,565
q32,14,1,5,5,8827,1150
q32,15,1,4,4,8881,1306
q32,16,1,5,2,11827,692
q32,17,1,5,2,8529,878
q32,18,2,6,4,9066,1130
q32,19,2,6,3,8582,683
q32,20,2,7,3,8532,497
q32,21,2,7,3,7807,623
q32,22,2,6,3,8755,714
q32,23,2,7,3,8112,1324
q32,24,2,8,5,8285,1178
q32,25,2,8,4,8673,1178
q32,26,2,8,5,7646,1374
q33,0,0,0,4,10265,517
q33,1,0,1,4,8330,528
q33,2,0,1,5,11207,541
q33,3,0,1,4,10324,740
q33,4,0,0,5,10964,497
q33,5,0,0,5,9231,911
q33,6,0,2,5,9284,1028
q33,7,0,2,5,7388,1066
q33,8,0,2,5,9286,1045
q34,0,0,0,6,11228,418
q34,1,0,0,5,8585,442
q34,2,0,1,5,8896,706
q34,3,0,1,3,9099,753
q34,4,0,1,5,8678,795
q34,5,0,2,5,10607,854
q34,6,0,0,6,9798,975
q34,7,0,2,5,9313,1028
q34,8,0,2,6,12136,1179
q34,9,1,3,3,9426,278
q34,10,1,3,6,7528,415
q34,11,1,3,6,8145,282
q34,12,1,4,5,6799,309
q34,13,1,4,5,7823,393
q34,14,1,5,3,11306,285
q34,15,1,4,6,7452,426
q34,16,1,5,6,6759,521
q34,17,1,5,5,10024,506
q34,18,2,6,6,7928,515
q34,19,2,6,5,9606,588
q34,20,2,6,6,9026,621
q34,21,2,7,6,7401,662
q34,22,2,7,6,9796,743
q34,23,2,7,5,8595,827
q35,0,0,0,6,8367,568
q35,1,0,1,5,7900,1110
q35,2,0,0,5,7520,818
q35,3,0,2,4,7879,995
q35,4,0,1,4,8691,1078
q35,5,0,2,4,11855,997
q35,6,0,0,4,9135,1189
q35,7,0,1,2,9980,1199
q35,8,0,2,2,9714,1148
q35,9,1,3,4,6745,525
q35,10,1,4,5,8020,567
q35,11,1,3,4,9584,697
q35,12,1,4,4,9930,939
q35,13,1,5,4,7941,989
q35,14,1,5,4,8992,921
q35,15,1,4,3,9130,1260
q35,16,1,5,6,8443,1230
q35,17,1,3,5,12899,1299
q35,18,2,6,6,8443,1017
q35,19,2,7,4,8961,1057
q35,20,2,7,4,9825,1079
q35,21,2,6,4,7941,1037
q35,22,2,6,4,8992,1199
q35,23,2,7,4,9691,1039
q36,0,0,0,3,9451,617
q36,1,0,0,6,7571,593
q36,2,0,0,2,9371,650
q36,3,0,1,4,12134,617
q36,4,0,1,4,10724,601
q36,5,0,1,5,10434,716
q36,6,0,2,5,10118,1006
q36,7,0,2,5,11625,1353
q36,8,0,2,6,7795,1365
q36,9,1,3,4,11865,176
q36,10,1,3,5,9932,302
q36,11,1,4,5,12309,446
q36,12,1,4,4,14082,547
q36,13,1,5,3,10843,894
q36,14,1,3,2,40574,983
q36,15,1,5,3,10093,1025
q36,16,1,5,4,9749,1035
q36,17,1,4,5,9550,1418
q37,0,0,0,6,7524,185
q37,1,0,1,4,10036,237
q37,2,0,1,4,8920,331
q37,3,0,1,4,8018,636
q37,4,0,0,5,8802,741
q37,5,0,2,5,9168,785
q37,6,0,0,6,5314,975
q37,7,0,2,5,8872,1101
q37,8,0,2,4,8932,1087
q37,9,1,3,6,10055,617
q37,10,1,4,5,11226,640
q37,11,1,5,6,11776,720
q37,12,1,4,2,8522,783
q37,13,1,3,3,10653,777
q37,14,1,3,3,8559,818
q37,15,1,5,5,13297,937
q37,16,1,4,6,7556,931
q37,17,1,5,5,9781,1115
q37,18,2,6,4,8676,340
q37,19,2,6,6,5594,694
q37,20,2,7,3,8621,533
q37,21,2,6,5,7613,872
q37,22,2,8,6,7992,751
q37,23,2,7,2,8278,859
q37,24,2,8,5,11320,1173
q37,25,2,8,5,7632,1134
q37,26,2,7,4,9684,1221
q38,0,0,0,3,11226,676
q38,1,0,1,5,11291,742
q38,2,0,0,4,11546,813
q38,3,0,2,5,11051,850
q38,4,0,1,4,8477,935
q38,5,0,1,4,9883,976
q38,6,0,0,3,10782,938
q38,7,0,2,3,11244,1143
q38,8,0,2,2,8998,1333
q39,0,0,0,5,2490,578
q39,1,0,1,4,8463,537
q39,2,0,0,2,8608,505
q39,3,0,1,6,8889,546
q39,4,0,2,6,11226,901
q39,5,0,1,4,10673,838
q39,6,0,2,6,10212,933
q39,7,0,2,3,7572,895
q39,8,0,0,4,9430,540
q39,9,1,3,4,21855,671
q39,10,1,3,4,9653,878
q39,11,1,3,4,9128,540
q39,12,1,4,5,7395,859
q39,13,1,5,3,8964,732
q39,14,1,5,4,11319,973
q39,15,1,4,5,10177,1023
q39,16,1,4,5,9379,783
q39,17,1,5,3,9902,1335
q39,18,2,6,4,10266,144
q39,19,2,7,5,11338,1045
q39,20,2,6,4,8956,663
q39,21,2,7,5,10374,1103
q39,22,2,8,5,13199,694
q39,23,2,6,4,8815,775
q39,24,2,8,3,12076,916
q39,25,2,7,3,10014,929
q39,26,2,8,4,9806,1082
q40,0,0,0,4,12077,711
q40,1,0,0,3,11269,753
q40,2,0,1,3,10959,833
q40,3,0,2,4,9763,1112
q40,4,0,0,3,7441,957
q40,5,0,2,5,12004,994
q40,6,0,1,3,10831,1185
q40,7,0,1,3,8951,1225
q40,8,0,2,4,8458,1164
q40,9,1,3,5,9268,255
q40,10,1,3,3,9797,230
q40,11,1,3,5,8772,419
q40,12,1,4,4,8944,474
q40,13,1,4,3,8532,470
q40,14,1,4,4,9094,535
q40,15,1,5,4,10678,613
q40,16,1,5,6,9721,670
q40,17,1,5,3,9986,895
q40,18,2,6,2,10040,333
q40,19,2,7,3,9425,468
q40,20,2,7,2,8970,642
q40,21,2,8,6,9721,698
q40,22,2,7,4,8612,693
q40,23,2,8,4,10678,796
q40,24,2,6,4,9554,754
q40,25,2,8,3,9986,826
q40,26,2,6,4,9902,916
q41,0,0,0,5,15864,603
q41,1,0,1,5,10374,788
q41,2,0,2,4,15917,941
q41,3,0,1,4,13342,1099
q41,4,0,1,5,13688,1127
q41,5,0,2,4,13493,1398
q41,6,0,2,6,14098,1146
q41,7,0,0,4,14465,1487
q41,8,0,0,5,12571,1394
q42,0,0,0,5,9584,137
q42,1,0,0,4,11224,215
q42,2,0,0,6,10838,662
q42,3,0,1,5,9473,890
q42,4,0,1,4,15206,961
q42,5,0,2,2,8903,1026
q42,6,0,1,2,8735,881
q42,7,0,2,6,8644,1003
q42,8,0,2,5,8164,1143
q42,9,1,3,5,6821,545
q42,10,1,3,5,12226,639
q42,11,1,3,2,9516,923
q42,12,1,4,4,9080,779
q42,13,1,5,6,5315,709
q42,14,1,4,5,9004,924
q42,15,1,5,3,8745,912
q42,16,1,5,6,6504,918
q42,17,1,4,3,11672,1033
q42,18,2,6,5,6654,883
q42,19,2,7,4,9803,909
q42,20,2,6,3,11994,936
q42,21,2,6,5,9876,975
q42,22,2,7,4,9335,990
q42,23,2,8,1,8340,1005
q42,24,2,7,5,9409,1145
q42,25,2,8,6,9812,1066
q42,26,2,8,3,8462,1074
q43,0,0,0,5,8963,675
q43,1,0,1,4,11477,1038
q43,2,0,0,4,10870,580
q43,3,0,0,5,10534,799
q43,4,0,1,4,12273,980
q43,5,0,1,4,9417,1052
q43,6,0,2,5,8718,1306
q43,7,0,2,6,11634,1328
q43,8,0,2,5,10497,683
q44,0,0,0,4,9065,100
q44,1,0,0,3,11196,64
q44,2,0,0,4,9609,99
q44,3,0,1,5,12177,463
q44,4,0,2,5,10374,794
q44,5,0,1,4,10258,288
q44,6,0,2,3,10874,921
q44,7,0,2,3,12226,1059
q44,8,0,1,3,11274,688
q44,9,1,3,4,10717,116
q44,10,1,3,6,11811,331
q44,11,1,3,2,11717,89
q44,12,1,4,5,12660,631
q44,13,1,4,3,11705,586
q44,14,1,5,5,8385,689
q44,15,1,5,4,10857,860
q44,16,1,5,4,9891,1089
q44,17,1,4,5,14307,656
q44,18,2,6,5,31281,272
q44,19,2,6,5,11241,369
q44,20,2,7,4,11926,892
q44,21,2,7,4,11405,954
q44,22,2,7,5,11538,1075
q44,23,2,6,6,11301,975
q44,24,2,8,3,11516,173
q44,25,2,8,4,10947,673
q44,26,2,8,5,11205,666
q45,0,0,0,1,7589,184
q45,1,0,0,2,6848,389
q45,2,0,1,3,8016,899
q45,3,0,0,4,8087,365
q45,4,0,2,3,7715,835
q45,5,0,1,4,8901,893
q45,6,0,1,3,9028,677
q45,7,0,2,5,11616,784
q45,8,0,2,4,7980,677
q45,9,1,3,4,7977,248
q45,10,1,4,5,9292,512
q45,11,1,3,3,8523,656
q45,12,1,5,3,10249,673
q45,13,1,3,4,10380,895
q45,14,1,5,4,8097,864
q45,15,1,4,2,8558,1030
q45,16,1,5,3,9387,787
q45,17,1,4,3,6768,766
q45,18,2,6,2,8675,277
q45,19,2,7,3,9305,470
q45,20,2,6,3,8633,219
q45,21,2,7,6,9070,813
q45,22,2,8,2,8604,272
q45,23,2,6,3,9217,849
q45,24,2,7,4,9648,553
q45,25,2,8,2,9294,742
q45,26,2,8,3,7543,847
q46,0,0,0,3,9738,631
q46,1,0,1,6,8633,562
